#separator:tab
#html:true
When were the IMF and World Bank established?	In 1944.&nbsp;
Why did the world feel the need to create institutions of global economic governance?	<ul><li>They were anxious about the Wall Street Crash (1929), which provoked global economic nationalism as states erected tarrifs against eachother.&nbsp;</li><li>This had, stimulated nationalism, which had led to the outbreak of war in 1939.</li><li>&nbsp;This was why IMF And WB were formed in 1944</li></ul>
How many countries are members of the IMF?	190
In what 3 ways does the IMF encourage global financial stability?	<ol><li>The IMF monitors the economic health and stability of its members and warns against policies it considers could be damaging to the economy. (Surveilance). IMF advised Mexico it is too dependent on its oil revenue and it should diversify to protect its economy in case of a drop in the price of oil.&nbsp;</li><li>The IMF offers technical advice on how to best maximise their economic potential. E.g. in Peru, the IMF has been advising the government on improving its methods of tax collection. Condemnation of Kwarteng</li><li>The IMF acts as a 'lender of last resort' if a member is facing a balance of payments crisis. - Should stabilise the currency and save the country from potential bankrupcy, ensures the <b>contagion</b> does not spread elsewhere, which could cause a global economic crisis.&nbsp;</li></ol>
What are the usual Washington Consensus Policies the IMF imposes as part of their structural adjustment reform?	<ul><li>Cuts in public spending</li><li>Privatisation&nbsp;</li><li>Reductions in tariffs and subsidies&nbsp;</li><li>Devaluation of the currency (in order to encourage exports)</li></ul>
How did the IMF ease the debt burden on developing countries in 2020?	<ul><li>IN 2020, as part of its response to the Covid 19 global pandemic, the IMF authorised immediate debt relief to 29 of its poorest members.&nbsp;</li></ul>
How does the IMF ensure global economic stability?	<ul><li>If a nation state is facing severe economic problems, the international community knows it can access emergency loans. E.g Sri Lanka</li><li>The IMF prevents countries from defaulting on loans, by loaning countries the foreign capital they require to pay off debts (currency gap)</li><li>This certainty provides the global economy with a greater sense of confidence, so reducing the risk of a collective panic that could in turn provoke a global depression.&nbsp;</li></ul>
How did IMF SAPs help India?	<ul><li>IMF SAPs in India in the 1990s encouraged the country to diversity from agriculture into new growth sectors, such as the service industry.&nbsp;</li><li>India now has one of the most impressive global technology industries</li></ul>
How do the IMF and World Bank encourage economic stability and development	<ul><li>Encourage global free trade - discourage tarrifs</li><ul><li>Comparative advantage and EOS - Maximise global wealth&nbsp;</li><li>Complex interdependence reduces chance of conflict between states</li></ul><li>Debt relief for countries that introduce free market reforms.</li><li>Lending to countries in debt distress provides global economy with greater confidence and prevents collective panic</li></ul>
How much money was South Korea given by the IMF in 1997?	<ul><li>The South Korean econoy was rescued with a $55billion aid package during the Asian Crisis</li></ul>
How did the IMF support poor and middle income countries during the COVID 19 Pandemic?	<ul><li>2020 - IMF provided $50bn in support to poor and middle income countries with vulnerable health services. The scale of the emergency meant SAPs were suspended</li><li>authorised debt relief for 29 poorest members</li></ul>
How does the USA have the power of VETO in the IMF?	<ul><li>The USA has 16.74% of the votes on the IMF and</li><li>Since an 85% vote is required to change its constituion.&nbsp;</li><li>The USA has an effective veto</li></ul>
How much money was Pakistan given by the IMF?	"<ul><li>$1.17bn only after it demonstrated a real <a href=""https://www.theguardian.com/business/2022/nov/01/is-the-imf-fit-for-purpose"">commitement to austerity</a>.&nbsp;</li><li>Slashing energy susidies</li></ul>"
What percent of Ireland's economy is made up of mutinational corporations?	<ul><li>Multinationals make up 52% of GDP</li><li>Much of the wealth brought in by multinationals is not shared out to the general population as income.&nbsp;</li><li>This has meant Irish incomes have stagnated</li></ul>
What is the full name for the World bank?	<ul><li>The International Bank for Reconstruction and Development</li></ul>
How do SAPs destroy the infant industries of developing countries?	<ul><li>Industries in developing countries are unlikely to have the expertise and EOS that developed countries have.&nbsp;</li><li>Exposed to foreign competition, infant industries are likely to be uncompetitive and fail - creates structural dependency on developed countries</li></ul>
"Why did the IMF <a href=""https://news.sky.com/story/dont-prolong-the-pain-imf-criticises-uk-government-for-undermining-bank-of-england-12719480"">criticise Kwasi Kwarteng's</a> mini budget?&nbsp;"	"<ul><li>According to IMF, tax cuts and energy support package had made battle agains inflation more difficult&nbsp;</li><li>Caused a 'disorderly' rise in borrowing costs.&nbsp;</li><li><img src=""paste-e6563f5e3e7a0dc594c1f918776cb816fcd94707.jpg""><br></li></ul>"
Who appoints the president of the world bank?	<ul><li>The president of the USA</li></ul>
