#separator:tab
#html:false
What was the verdict of the 2017 Miller Case?	Parliament must legislate to authorise the triggering of article 50.
When did the supreme court open?	In 2009 But the constituional reform act was in 2005
How many justices are there on the supreme court?	12
Why was the supreme court established?	Improve judicial neutralityIt was becoming clear that the judiciary was being asked to adjudicate upon constituional issues which it was not appropriate for members of the House of Lords to decide. In case of R (Jackson) v Attorney General [2005], the Law Lords had to resolve a dispute between the Commons and Lords in relation to whether Parliaments Acts could be used by commons to pass the Hunting Act 2004. The judges hearing the case were members of the lordsClearer seperation of powers
Why was the office of Lord Chancellor split up?	The office of Lord Chancellor fused the roles of head of judiciary, presiding officer of the House of Lords and a Cabinet Minister. Lord Chancellor was appointed by the PM and was a member of cabinetThis did not create judicial independence. As a result, the roles of the Lord Chancellor's office were split to maintain the principle of judicial independence. Lord speaker Lord chief justice and chancellor of the high court Therefore improves seperation of powers and roles
How did the Judicial Appointments Commision address concerns about the independence of the judiciary? (CRA, 2005)	The JAC appoints judges to courts and tribunals but does not select justices for supreme courtPreviously, law lords were appointed by the Crown, on the advice of the PM. Other judges were appointed by the Crown, on advice of the Lord Chancellor, who was appointed by the PM and was a member of cabinet. The JAC was created to select candidates, free from political interference, whilst encouraging diversity in the range of people available for selection. Candidates are chosen by merit.
How are justices for the supreme court appointed?	An indepenent select commission appoints for any vacant seat that arises. This is not the same as the JAC. The JAC is not responsible for selecting justices of the supreme court.
What are the 4 roles of the supreme court?	Hears appeals on arguable points of law of general public importanceConcentrates on cases of the greatest public and constitutional importanceActs as the final court of appeal for all UK civil cases, and all criminal cases from England, Wales and Northern Ireland. Has assumed the role of adjudicating on whether the devolved legislatures or governemnts had acted within or exceeded their devolved powers
How are supreme court justices appointed?	When a vacancy appears, a selection commission is created. Potential candidates apply for the job and are interviewed by the selection commission Candidates must have held judidical high office for at least two years or satisfy the 15 year eligibility condition in terms of their work as a barrister or soliciter. The commission is chaired by the incumbent president of the supreme court, who also nominates a senior judge who is not on the supreme court to sit. In addition, it includes a representative from the seperate Judicial Appointments Commission.
What can Supreme Court judges do if a public body is found acting 'ultra vires'	Through judicial review - they can declare their behaviour unlawfulThey can strike down decisions made by public bodies (including government ministers ) when does decisions were considered to be ultra vires.Ultra vires means 'beyond the power' - when public authorities act unlawfully because their actions have no statutory authority
Why did the supreme court rule that an Act of Parliament was required to trigger article 50?	Well established principle that prerogative powers could not be applied to acts which might lead to a change in domestic law. The European Communities Act (1972) authorised the process of EU law becoming UK law and taking primacy over UK domestic law. Leaving the EU will clearly change UK law, so withdrawl requires an Act of Parliament.
Which Newspaper branded the supreme court 'enemies of the people' after their controversial ruling that an Act of Parliament was required to authorise EU withdrawl?	The daily mail in 2016Claimed that the courts blocked Brexit Was accused of homophobia because the mail described a judge as an 'openly gay ex olympic fencer' who sought to frustrate Brexit. IPSO recieved more than 1000 complaints over the matter
Why was the supreme court criticised after their 2016 decision?	Enemies of the people for blocking the popular will expressed in the referendumJudicial activism - Meddling in matters that should have been left to politicians and allowing europhile sympathies to affect their personal judgements Much media speculation about pro-eu positions of individual judges
What is judicial review ?	The power to review actions taken by public bodies on the ground that they are ultra viresWhere they act beyond the law, they can stop them and to review acts of parliament to see if they are compatible with the HRATherefore the court upholds the rule of law
