#separator:tab
#html:true
What are the 7 functions of political parties?	<ol><li>Representation&nbsp;</li><ol><li>Bring people with certain ideologies as an electoral unit.</li><li>MPs represent their constitutents</li><li>Outside interests - trade unions, businesses.&nbsp;</li></ol><li>Participation and mobolisation of the elctorate</li><ol><li>Canvassing, public meetings, <b>party membership</b></li><li>Electorate is given a&nbsp;<b>choice.&nbsp;</b></li><li>Communicates with the electorate<br></li></ol><li>Policy formulation&nbsp;</li><ol><li>Develop programmes of government through&nbsp;<b>manifesto proposals.&nbsp;</b></li></ol><li>Communication function</li><ol><li>Broadcasts, social media (momentum), podcasts (David Lammy on leading), Question Time,&nbsp;</li></ol><li>Electoral function&nbsp;</li><ol><li>Creates an electoral unit.&nbsp;</li></ol><li>Recruting office holders and forming government&nbsp;</li><ol><li>Creates stability due to the ideological unity.&nbsp;</li></ol><li><b>Opposition function</b></li><ol><li>PMQs, select committees.&nbsp;</li></ol></ol>
What is a mandate	The right of the governing party to persue the policies it sets out in it's general election.<br>Something which creates legitimacy
How are pressure groups different to parties?&nbsp;	<ul><li>Parties offer a broad portfolio of policies, rather than representing a specific or narrow interests.&nbsp;</li><li>Parties are perhaps more inclusive.&nbsp;</li><li>Pressure groups have less internal democracy</li><li>Pressure groups do not field candiates during an election, but might support political parties.&nbsp;</li></ul>
Who mostly funds the Labour party?	<ul><li>Traditonally mostly trade unions, Unite, Unison,&nbsp;</li><li>However, trade union&nbsp; dwindled under New Labour. Party sought donations from wealthy individuals such as Bernie Ecclestone, Lord Sainsbury.&nbsp;</li></ul>
How much did Lord David Sainsbury donate to the Labour party in Feburary 2023 and why did he decide to return?	£2million&nbsp;<br><ul><li>Stopped giving donations under Corbyn, as he felt the party had moved too far away from the centre ground.&nbsp;</li><li>Confidence was restored under Starmer, who was motivated by goals of social justice and growth.&nbsp;</li></ul>
How much money has been donated by Russians to the Tory party whilst Johnson was Prime Minister?	"<ul><li>A <a href=""https://www.theguardian.com/politics/2022/feb/23/oligarchs-funding-tories"">Labour party calculation</a> based on Electoral Commission information estimated that Russian donors had given £2million to the Tory party whilst Johnson was Prime Minister.</li></ul>"
"Who is <a href=""https://www.theguardian.com/news/2021/oct/04/tory-party-top-female-donor-lubov-chernukhin-vast-offshore-empire-husband"">Lubov Chernukhin</a> and how much has she donated to the Tory party?&nbsp;<div><br></div><div><img src=""paste-6caebda4c0cc4bd7d3a00612ef4c56370a9b03b1.jpg""><br></div>"	<ul><li>Married to Vladimir Chernukhin, former deputy finance minister under Putin and Russian Oligarch.&nbsp;</li><li>She has given over £1.7million to the Conservatives.&nbsp;</li><li>She paid 165k to play tennis with David Cameron and 45k to play with Boris Johnson.&nbsp;</li><li>She can be seen pictured with other senior Tory party members</li></ul>
Why was there criticism against Robert Jenrick decision to intervene in a planning process?	"<ul><li><b><span style=""font-weight: 400;""><b><span style=""font-weight: 400;""><b><span style=""font-weight: 400;"">Housing secretary Robert Jenrick intervened in planning application to save Tory donor Richard Desmond £45m in tax'.&nbsp;</span></b></span></b></span></b></li><li><b><span style=""font-weight: 400;""><b><span style=""font-weight: 400;""><b><span style=""font-weight: 400;"">He had donated 12k to the Tory party two weeks before.&nbsp;</span></b></span></b></span></b></li><li>Text messages show that Desmond said that<a href=""https://www.theguardian.com/politics/2020/jun/24/we-dont-want-to-give-marxists-doe-texts-between-desmond-and-jenrick""> 'We don't want to give the Marxists doe for nothing!</a></li></ul>"
Why was the Bernie Ecclestone affair controversial?	"<ul><li><b><span style=""font-weight: 400;"">Tony Blair exempted Formula one from a ban on tobacco advertising, after Ecclestone donated 1m to the labour party&nbsp;</span></b></li></ul>"
"What does the&nbsp;<span style=""color: rgb(109, 111, 113);"">Political Parties, Elections and Referendums Act (PPERA)
2000 do?</span>"	<ul><li>£30,000 spending limit per constituency.&nbsp;</li><li>Established additional spending limits for elections to devolved bodies.&nbsp;</li><li>Required all parties to declare&nbsp;<b>all&nbsp;</b>donations worth over&nbsp;<b>£7500</b>&nbsp;to the Electoral commision.&nbsp;</li><li>Donations from individuals not on the electoral roll were banned</li><li>Designed to make parties&nbsp;<b>less reliant&nbsp;</b>on vested interests</li></ul>
"What did the&nbsp;<span style=""color: rgb(109, 111, 113);"">Political Parties and Elections Act (PPEA) 2009 do?</span>"	<ul><li>Built upon earlier regulations created by PPERA&nbsp;</li><li>Tighter regulations on sepdning in the run-up to an election&nbsp;</li><li>Allows the Electoral Commision to investigate cases and impose fines</li><li><b>Restricts donations from Non-UK residents</b><br></li><li>Reduces the threshold of decleration&nbsp;<br></li></ul>
What is Cranbourne money?	<ul><li>Funds paid to opposition parties in the&nbsp;<b>House of Lords&nbsp;</b>to help them cover their admin costs and provide proper scrunity of the government.&nbsp;</li></ul>
What is&nbsp;<b>short money&nbsp;</b>	<ul><li>Funds given to opposition parties to help them cover their administrive costs and provide proper scrutinty of government</li><li>Available to all opposition parties that win</li><ul><li>At least two seats</li><li>Or win a single seat whilst securing 150,000 votes nationally.&nbsp;</li></ul></ul>
What was the Cash For Honours scandal?	"<ul><li>Claims that honours were given by parties in return for donations and loans.&nbsp;</li><li><a href=""https://www.channel4.com/news/articles/uk/5%2Bminute%2Bguide%2Bcash%2Bfor%2Bhonours/255298.html"">Chai Patel had been nominated for a peerage</a> after donating £100k to the labour party and making a secret loan of £1.5m</li><li>Metropolitan police launched an investigation.&nbsp;</li><ul><li><b>Tony Blair himself was questioned by police officers.&nbsp;</b>First PM to have ever been questioned in a criminal investigation.</li><li>His close aide Ruth Turner was arrested.&nbsp;<br></li></ul><li>Cast a shadow over Tony Blair's premiership.&nbsp;</li></ul>"
What does Hayden Phillips Conclude in his 2007 Report&nbsp;<i>Strengthening democracy:</i>	<ul><li>Greater state funding would strenghten democracy through moving towards a system of state funding, through some form of 'pence per voter' funding formula</li></ul><div>No government has acted on this, especially in an age of Tory austerity.&nbsp;</div>
Why should parties be state funded?	"<div>
<div><div><ol><li><b>Less reliance on vested interests&nbsp;</b>- often donors have a hidden agenda. E.g Bernie Ecclestone.&nbsp;<br></li><li><b>Politicans spend more time focusing on representing constituents.&nbsp;</b>Rather than courting wealthy donors. For example Boris Johnson played tennis with Lubov Churnukhin for a 160k Tory donation.&nbsp;</li><li><b>More democratic -&nbsp;</b>Lack of state funding means that elites and the super wealthy, like Peter Cruddas can distort electoral outcomes. State funding will mean one person one vote.&nbsp;</li><li>Puts smaller parties in a better position</li></ol></div><ul>
</ul>
</div>
</div>"
