#separator:tab
#html:true
When was the WTO established?	<ul><li>in 1995</li></ul>
How does MFN status work?	<ul><li>Most favoured nation principle means that if you grant special trading favours to one member of the WTO, then they must be granted to all members</li></ul>
How many countries are members of the WTO?	<ul><li>164 countries</li></ul>
When did China become a member of the WTO?	<ul><li>2001</li></ul>
What was the value of global trade in 2022?	"<ul><li>According to the WTO, world trade was worth $25.3bn in 2022, inflated by high global <a href=""https://www.wto.org/english/res_e/booksp_e/trade_outlook23_e.pdf"">commodity prices</a></li><li>World trade is now 57% of world GDP compared to <a href=""https://data.worldbank.org/indicator/NE.TRD.GNFS.ZS"">45% in 1995</a></li></ul>"
Why are TRIPs measures accused of exacerbating HIV in Africa?	<ul><li>The WTO's TRIPs restrict developing countries from creating generic versions of HIV medication.&nbsp;</li></ul>
What do TRIMS (trade related investment measures) do?	<ul><li>Measures that prevent states from discriminating against foregin companies</li><li>They ban things like local content requirements, export requirements or foreign exchange balance requirements for foreign investors.&nbsp;<br></li><li>According to Ha Joon Chang, this is very hypocritical as most rich countries (Finland, Korea, Japan) regulated foreign investment when they were on the recieving end.&nbsp;</li></ul>
How much was global trade worth in 1950?	$296bn&nbsp;
What are the WTO <b>successes?</b>	<ul><li>Discourages tarrifs and subsidies, to dramatically increase global trade. Comparative advantage and reduction in poverty.&nbsp;</li><li>The WTO resolves trade disputes by encouraging a 'rules based approach'.&nbsp;</li><li>Prevented a rise in protectionism after 2008 and according to the democratic peace thesis, the WTO reduces the risk of conflict and supports financial stability&nbsp;<br></li><li>More democratic than IMF and World Bank - decisions are made on consensus. Developing states have influence</li></ul>
Which Western conglomerate owns the majority of Zambia's copper industry?	<ul><li>Glencore</li><li>70% of export revenue is from copper<br></li><li>Primary product dependency</li></ul>
What are ISDS clauses? (ISDMs)	"<ul><li><a href=""https://www.theguardian.com/politics/2019/feb/20/much-to-fear-from-post-brexit-trade-deals-with-isds-mechanisms"">ISDS</a> clauses in trade deals allow foreign investors to sue national governments for any measures that harm their profits</li><li>E.g. environmental regulations.&nbsp;</li><li>French multinational Veolia suing Egypt for increasing its national minimum wage<br></li></ul>"
Which Tobacco company attempted to sue the Australian government in 2015?	"<ul><li>Philip Morris attempted to sue the Australia.&nbsp;</li><li>Although Australia won, the country had to pay $24m in legal fees, which <a href=""https://theconversation.com/when-even-winning-is-losing-the-surprising-cost-of-defeating-philip-morris-over-plain-packaging-114279"">Phillip Morris</a> only has to pay half of.&nbsp;</li></ul>"
Why did Lone Pine file a lawsuit against Canada in 2013?&nbsp;	<ul><li>Lone pine attempted to sue Canada for $250m for blocking fracking in Quebec</li></ul>
"What are the aims of the <a href=""https://www.instituteforgovernment.org.uk/article/explainer/world-trade-organization"">WTO</a>?"	"<div><ul><li><span style=""color: rgb(28, 43, 57); background-color: rgb(255, 255, 255);"">The WTO describes its principal function as being to provide a forum for its members to negotiate on trade issues.&nbsp;</span></li><li><span style=""color: rgb(28, 43, 57); background-color: rgb(255, 255, 255);"">It operates a body of rules in the form of the WTO agreements.&nbsp;</span></li><li><span style=""color: rgb(28, 43, 57); background-color: rgb(255, 255, 255);"">Finally, it provides a dispute settlement mechanism (DSM) to resolve disagreements over the rules between members.</span><br></li><li><a href=""https://www.wto.org/english/thewto_e/whatis_e/tif_e/fact2_e.htm"">https://www.wto.org/english/thewto_e/whatis_e/tif_e/fact2_e.htm</a>&nbsp;Read and make notes on this link&nbsp;<br></li></ul></div>"
