#separator:tab
#html:true
Which two countries withdrew from the International Criminal Court (2002)	<ul><li>Burundi (2017) and the Philipphines (2019)</li></ul>
Which UN resolution authorised military a no fly zone in Libya? When?	<ul><li>UNSCR 1973 Authorised a 'no fly zone' over Libya in 2014</li></ul>
What does Vasak argue in his Generation of Rights Theory?	<ul><li>1st generation - 18th and 19th century. Civil and political rights&nbsp;</li><li>2nd 20th and 21st C - economic and social rights</li><li>3rd 20th and 21st&nbsp; - 'Solidarity Rights'&nbsp; Black Civil Rights, environmental rights, gender equality, children rights.&nbsp;</li></ul>
What does Orford argue in 2003?	Western humanitarian intervention is a figleaf to disguise the geopolitical interests of western countries.&nbsp;
What is international law according to Jeremy Bentham?	<ul><li>International Law is the customs and treaties observed as binding between nations</li></ul>
What are the 2 sources of international law?	<div><ol><li>The UN Charter- 1945. Establishes the ICJ to settle disputes between states.&nbsp;</li><li>The UDHR 1948</li></ol></div>
"<img src=""paste-9ea312af6657b6cbabb9dd780fc2c5cc7a137c59.jpg"">"	
Why does the ICJ have influence?	<div><ul><li>A ruling by the ICJ carries considerable moral weight and so nation states will not want to be in defiance of the court</li><li>Non-compliance by a state with an ICJ judgement means that the other party may then approach the UN Security Council to enforce the judgement&nbsp;</li></ul></div>
Why is the ICJ unable to enforce the rule of law and hold states equally accountable for their actions?	<ul><li>The court cannot initiate cases itself.&nbsp;</li><li>If states choose to ignore judgements or rulings by the court, it is highly unlikely the UN Security Council will take coercive action.&nbsp;</li></ul>
Is the ICJ effective in promoting respect for international law?	"<table class=""table_class_basic_full_width"" style=""font-size: 85%; width: 100%; border-collapse: collapse; border: 1px solid;"">
                <thead><tr><th style=""width:50%;  padding: 2px; border: 1px solid;"">Yes</th><th style=""width:50%;  padding: 2px; border: 1px solid;"">No</th></tr></thead>
                <tbody><tr><td style=""width:50%;  padding: 2px; border: 1px solid;"">- ICJ possess great moral authority and states often accept its rulings</td><td style=""width:50%;  padding: 2px; border: 1px solid;"">ICJ lacks coervise power and so its judgements and opinions require the co-operation of states if they are to be enforced</td></tr><tr><td style=""width:50%;  padding: 2px; border: 1px solid;"">1986 - Border clash between Burkina Faso and Mali was resolved</td><td style=""width:50%;  padding: 2px; border: 1px solid;"">1980 - Iran refused to acknowledge the sovereignty of the ICJ when the USA accused it of breaking international law by seizing the American embassy in Tehran in 1979</td></tr><tr><td style=""width:50%;  padding: 2px; border: 1px solid;"">1992 - Border dispute between Honduras and El Salvador was resolved</td><td style=""width:50%;  padding: 2px; border: 1px solid;"">1986 - The ICJ declared that the Reagan administration had acted illegallly by supporting the Contras in their rebellion against the Sandinista government. The US refused to accept the judgement, artuing that its actions were a justifiable response to Nicaraguan threats to its neighbours. US is a member of the security council so there can be no enforcement</td></tr><tr><td style=""width:50%;  padding: 2px; border: 1px solid;"">2012 - In a case brought by Belgium, Senegal complied with a ruling by the ICJ that it must begin the trial of former president of Chad, Hissene HABRE 'without delay'</td><td style=""width:50%;  padding: 2px; border: 1px solid;"">2004 - Israel rejected the ICJ's opinion that the wall it was building to seperate Israel from the Palestinian territories was illegal</td></tr><tr><td style=""width:50%;  padding: 2px; border: 1px solid;"">2013 - In a dispute between Cambidoia and Thailand over the ownership of the temple of Preah Vihear, the ICJ found that the temple should be returned to Cambodian territory&nbsp;</td><td style=""width:50%;  padding: 2px; border: 1px solid;"">2018 - The US rejected an ICJ ruling that the reimposition of sanctions on Iran should not include humanitarian exports</td></tr><tr><td style=""width:50%;  padding: 2px; border: 1px solid;"">2013 - Border dispute betwen Niger and Burkina Faso was resolved.&nbsp;</td><td style=""width:50%;  padding: 2px; border: 1px solid;"">2020 - Myanmar rejected a ruling by the ICJ ordering it to deploy 'all measures within it's powers' to protect Rohingya Muslims from genocide.&nbsp;</td></tr></tbody></table>"
When was the European Convention on Human Rights (ECHR) passed and when did it come into force?	<ul><li>Passed in 1950&nbsp;</li><li>Came into force in 53</li></ul>
