#separator:tab
#html:false
What percentage of Scotland voted to remain in the EU?	62% of Scots voted to remain in the EU
According to George Robertson, Devolution will [...]	According to George Robertson, Devolution will Kill nationalism stone dead
How many seats did the SNP win in the 2021 Scottish parliament election?	64 /129seatsLargest party.
What was voter turnout for the referendum to have a Welsh Assembly (1997)	50% turnout
What is a constitution according to Heywood (2000)?	
What are the three functions of a constitution?	Establish the duties, powers, limits and functions of government institutionsRegulate the relationships between these institutions . Define the relationship between the state and the individual.
What are the types of constituion?	Codified and uncodified constitutionsUnitary and federal constituions Entrenched and unentrenchedFlexible and rigidMonarchical and RepublicanParliamentary and Presidential
What is a codified constituion?	Key constitutional provisions are collected together in a single legal document Outlines duties, powers and functions of governments. May also include a bill of rights.  Also entrenched
What are the four key features of a codified constituion?	Constitutional provisions are collected within a single legal document. The document is authoritative and constitutes 'higher law'. Constitution stands above statute made by legislature (two tier legal system)The provisions are entrenched. Difficult to amend as process for changing constitution is more difficult or complex than making ordinary laws. It is judiciable - all political bodies are subject to the authority of courts.
What three countries have uncodified constituions	UKNew Zealand Israel
What is an uncodified constituion?	Constitution made up of a variety of different sources. Evolved over time and not been formally codified or entrenched.
What did Philip Norton (1982) say about the nature of uncodified constitutions?	They are in a permenant state of flux.
What are the three key features of uncodified constituions?	Not authoratative. Constitutional laws enjoy the same status as ordinary laws. (Single tier legal system with no higher law)Not entrenched - can be changed by passing a statute law. Can be seen in the UK through Parliamentary sovereignty. Not judiciable - Judges do not have a legal standard enshrined in a written constitution to declare laws 'unconstitutional'.
What is a unitary constitution?	A constitution that concentrates sovereign power in a single bodyExecutive is formed from the legislature
What is a federal constitution?	A constitution that is based on the principles of shared sovereignty,in that there are two relatively autonomous levels of government - regional and national Both possess a range of powers that the other cannot encroach upon.
What is a quasi federal constitution? (Heywood, 2021)	A division of powers between central and regional government, that has some features of federalism without possessing a formal federal structure.
What are the 5 main sources of the UK constitution?	Statute law - made by Parliament. Parliamentary sovereignty implies statutes outrank all other sources of constitution. E.g. Scotland Act (1998), Government of Wales Act (1998), House of Lords Act (1999), Constitutional Reform Act (2005), Dissolution and calling of Parliament Act (2022). Common law - Judge-made law. Precedents. Exists where there are no statutes. Conventions - unwritten understandings about how something should be done. E.g. The Royal Prerogatives, IMR, CMR Works of constituional authority. E.G. Hansard, A.V. Dicey’s Rule of Law or Bagehot’s The English Constitution.Treaties and EU law - NI Protocal
What did Walter Bagehot argue in The English Constitution (1877)	Bagehot distinguished between the 'dignified' (monarchy and the Lords) from the 'efficient' (cabinet and commons)Fusion of powers
